Service,Code,Rate $/hr,MonthYear,Billed_hrs,Actual_hrs,Over_or_Under_hrs
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-01-01,1.38,3.44,2.06
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-02-01,1.38,0,-1.38
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-03-01,1.38,2.33,0.95
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-04-01,1.38,0,-1.38
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-05-01,1.38,1.05,-0.33
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-06-01,1.38,0.73,-0.65
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-07-01,1.38,1.17,-0.21
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-08-01,1.38,1,-0.38
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-09-01,1.38,0,-1.38
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-10-01,1.38,0,-1.38
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2025-11-01,1.38,1.51,0.13
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2026-01-01,1.38,4.25,2.87
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2026-02-01,1.38,1.6,0.22
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2026-03-01,4.86,0.95,-3.91
India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,2026-04-01,5.32,3.2,-2.12
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-01-01,2.75,0,-2.75
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-02-01,2.75,0,-2.75
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-03-01,2.75,1.08,-1.67
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-04-01,2.75,2.95,0.2
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-05-01,2.75,3.58,0.83
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-06-01,2.75,1.42,-1.33
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-07-01,2.75,2.12,-0.63
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-08-01,2.75,0.83,-1.92
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-09-01,2.75,0.72,-2.03
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-10-01,2.75,0,-2.75
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-11-01,2.75,0,-2.75
India Remote Normal,OffShoreTechSupport.R.N,15.0,2025-12-01,2.75,0.75,-2.0
India Remote Normal,OffShoreTechSupport.R.N,15.0,2026-01-01,2.75,0.92,-1.83
India Remote Normal,OffShoreTechSupport.R.N,15.0,2026-02-01,2.75,1.91,-0.84
India Remote Normal,OffShoreTechSupport.R.N,15.0,2026-03-01,2.75,1.52,-1.23
India Remote Normal,OffShoreTechSupport.R.N,15.0,2026-04-01,2.75,1.5,-1.25
USA Onsite Normal,TechSupport.O.N,,2025-01-01,0,2.42,2.42
USA Onsite Normal,TechSupport.O.N,,2025-12-01,0,1,1.0
USA Remote After-Hours,TechSupport.R.AF,,2025-12-01,0,2,2.0
USA Remote Normal,TechSupport.R.N,125.0,2025-01-01,2.11,9.17,7.06
USA Remote Normal,TechSupport.R.N,125.0,2025-02-01,2.11,0.5,-1.61
USA Remote Normal,TechSupport.R.N,125.0,2025-03-01,3.39,0,-3.39
USA Remote Normal,TechSupport.R.N,125.0,2025-04-01,3.39,0,-3.39
USA Remote Normal,TechSupport.R.N,125.0,2025-05-01,3.39,0.5,-2.89
USA Remote Normal,TechSupport.R.N,125.0,2025-06-01,1.38,1.5,0.12
USA Remote Normal,TechSupport.R.N,125.0,2025-07-01,1.38,1,-0.38
USA Remote Normal,TechSupport.R.N,125.0,2025-08-01,1.38,0,-1.38
USA Remote Normal,TechSupport.R.N,125.0,2025-09-01,1.38,0,-1.38
USA Remote Normal,TechSupport.R.N,125.0,2025-10-01,1.38,0,-1.38
USA Remote Normal,TechSupport.R.N,125.0,2025-11-01,1.38,0,-1.38
USA Remote Normal,TechSupport.R.N,125.0,2025-12-01,1.38,0.25,-1.13
USA Remote Normal,TechSupport.R.N,125.0,2026-01-01,1.38,0,-1.38
USA Remote Normal,TechSupport.R.N,125.0,2026-02-01,1.38,1.5,0.12
USA Remote Normal,TechSupport.R.N,125.0,2026-03-01,1.38,0,-1.38
USA Remote Normal,TechSupport.R.N,125.0,2026-04-01,3.63,0,-3.63
TOTAL — India Remote After-Hours,OffShoreTechSupport.R.AF,30.0,16-mo total,28.12,21.23,-6.89
TOTAL — India Remote Normal,OffShoreTechSupport.R.N,15.0,16-mo total,44.0,19.3,-24.7
TOTAL — USA Onsite Normal,TechSupport.O.N,,16-mo total,0.0,3.42,3.42
TOTAL — USA Remote After-Hours,TechSupport.R.AF,,16-mo total,0.0,2.0,2.0
TOTAL — USA Remote Normal,TechSupport.R.N,125.0,16-mo total,31.82,14.42,-17.4
