LocationCode,RoleTypeTxt,Under_Contract_Period,MonthStartDate,NormalHours,NormalHoursBillable,contractId,,
BST,OFFSHORESUPPORT.N,12 Months,5/1/2023,9,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,6/1/2023,15.94,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,7/1/2023,9,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,8/1/2023,31.36,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,9/1/2023,29.5,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,10/1/2023,30,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,11/1/2023,26.14,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,12/1/2023,31.37,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,1/1/2024,39.75,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,2/1/2024,29.94,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,3/1/2024,50.27,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,4/1/2024,51.71,9,4925,,
BST,OFFSHORESUPPORT.N,12 Months,5/1/2024,68.6,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,6/1/2024,74.86,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,7/1/2024,64.77,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,8/1/2024,72.12,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,9/1/2024,71.01,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,10/1/2024,53.08,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,11/1/2024,54.22,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,12/1/2024,46.55,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,1/1/2025,49.25,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,2/1/2025,34.88,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,3/1/2025,50.21,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,4/1/2025,39.58,29.5,4925,,
BST,OFFSHORESUPPORT.N,12 Months,5/1/2025,40.51,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,6/1/2025,36.12,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,7/1/2025,34.36,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,8/1/2025,14.95,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,9/1/2025,14.96,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,10/1/2025,9.97,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,11/1/2025,17.82,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,12/1/2025,29.91,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,1/1/2026,25.05,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,2/1/2026,28.22,56.59,4925,,
BST,OFFSHORESUPPORT.N,12 Months,3/1/2026,9,56.59,4925,,209.49
,,,,,,,,
LocationCode,RoleTypeTxt,Under_Contract_Period,MonthStartDate,AfterHours,AfterHoursBillable,contractId,,
BST,OFFSHORESUPPORT.AF,12 Months,5/1/2023,4.5,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,6/1/2023,5.81,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,7/1/2023,6.08,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,8/1/2023,11.45,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,9/1/2023,23.52,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,10/1/2023,17.69,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,11/1/2023,13.66,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,12/1/2023,13.88,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,1/1/2024,18.66,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,2/1/2024,18.72,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,3/1/2024,24.97,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,4/1/2024,30.99,9,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,5/1/2024,41.34,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,6/1/2024,44.18,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,7/1/2024,58.84,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,8/1/2024,41.96,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,9/1/2024,50.73,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,10/1/2024,29.21,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,11/1/2024,23.29,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,12/1/2024,13.82,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,1/1/2025,37.81,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,2/1/2025,27.47,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,3/1/2025,22.22,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,4/1/2025,13.58,15.83,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,5/1/2025,12.73,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,6/1/2025,16.34,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,7/1/2025,13.93,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,8/1/2025,14.01,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,9/1/2025,5.36,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,10/1/2025,4.5,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,11/1/2025,6.08,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,12/1/2025,5.35,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,1/1/2026,16.5,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,2/1/2026,8.99,33.7,4925,,
BST,OFFSHORESUPPORT.AF,12 Months,3/1/2026,4.5,33.7,4925,,34.01
,,,,,,,,
LocationCode,RoleTypeTxt,Under_Contract_Period,MonthStartDate,NormalHours,NormalHoursBillable,contractId,,
BST,Tech Support.N,12 Months,5/1/2023,22.98,6.5,4925,,
BST,Tech Support.N,12 Months,6/1/2023,2.83,6.5,4925,,
BST,Tech Support.N,12 Months,7/1/2023,1.5,6.5,4925,,
BST,Tech Support.N,12 Months,8/1/2023,5,6.5,4925,,
BST,Tech Support.N,12 Months,9/1/2023,3.5,6.5,4925,,
BST,Tech Support.N,12 Months,10/1/2023,3.67,6.5,4925,,
BST,Tech Support.N,12 Months,11/1/2023,0,6.5,4925,,
BST,Tech Support.N,12 Months,12/1/2023,1,6.5,4925,,
BST,Tech Support.N,12 Months,1/1/2024,5.5,6.5,4925,,
BST,Tech Support.N,12 Months,2/1/2024,4.83,6.5,4925,,
BST,Tech Support.N,12 Months,3/1/2024,6.23,6.5,4925,,
BST,Tech Support.N,12 Months,4/1/2024,2.5,6.5,4925,,
BST,Tech Support.N,12 Months,5/1/2024,17.59,8.31,4925,,
BST,Tech Support.N,12 Months,6/1/2024,12.34,8.31,4925,,
BST,Tech Support.N,12 Months,7/1/2024,12.42,8.31,4925,,
BST,Tech Support.N,12 Months,8/1/2024,7.92,8.31,4925,,
BST,Tech Support.N,12 Months,9/1/2024,5.58,8.31,4925,,
BST,Tech Support.N,12 Months,10/1/2024,17.75,8.31,4925,,
BST,Tech Support.N,12 Months,11/1/2024,1.5,8.31,4925,,
BST,Tech Support.N,12 Months,12/1/2024,3.58,8.31,4925,,
BST,Tech Support.N,12 Months,1/1/2025,11.5,8.31,4925,,
BST,Tech Support.N,12 Months,2/1/2025,7.5,8.31,4925,,
BST,Tech Support.N,12 Months,3/1/2025,11,8.31,4925,,
BST,Tech Support.N,12 Months,4/1/2025,7,8.31,4925,,
BST,Tech Support.N,12 Months,5/1/2025,2.5,12.56,4925,,
BST,Tech Support.N,12 Months,6/1/2025,4.25,12.56,4925,,
BST,Tech Support.N,12 Months,7/1/2025,1,12.56,4925,,
BST,Tech Support.N,12 Months,8/1/2025,8,12.56,4925,,
BST,Tech Support.N,12 Months,9/1/2025,1.5,12.56,4925,,
BST,Tech Support.N,12 Months,10/1/2025,11.25,12.56,4925,,
BST,Tech Support.N,12 Months,11/1/2025,2,12.56,4925,,
BST,Tech Support.N,12 Months,12/1/2025,0.5,12.56,4925,,
BST,Tech Support.N,12 Months,1/1/2026,1,12.56,4925,,
BST,Tech Support.N,12 Months,2/1/2026,0,12.56,4925,,
BST,Tech Support.N,12 Months,3/1/2026,0,12.56,4925,,-108.66
,,,,,,,,
,,,,,,,,134.84
,,,,,,,,
,,,,,,,," $20,226.00 "
